ID,Title,Description,Views,Pages,Uploader,Upload Date,Thumbnail URL
183228847,RPP Matematika,"Rencana Pelaksanaan Pembelajaran (RPP) ini membahas tentang pembelajaran matematika di SDN 7 Maligano untuk kelas 4 semester 1. Materi yang diajarkan adalah mengenal sifat-sifat operasi hitung bilangan, yang mencakup penjumlahan, perkalian, dan pengurutan bilangan. Pembelajaran dilaksanakan dalam 2 pertemuan dengan menggunakan berbagai metode seperti demonstrasi, diskusi kelompok, dan pemecahan masalah.",353,15,Septian Raha,"November 11, 2013",https://imgv2-1-f.scribdassets.com/img/document/183228847/298x396/f16752c01a/0?v=1
514018954,RPP Matematika,"Rencana pelaksanaan pembelajaran ini membahas tentang pembelajaran pecahan di kelas 4 semester 1. Materi yang diajarkan adalah konsep pecahan, penulisan pecahan, dan pecahan yang senilai. Siswa akan melakukan kegiatan mengamati, menanya, mencoba, menalar, dan mengomunikasikan untuk memahami pecahan dengan model konkret seperti kardus dan gambar. Tujuannya agar siswa dapat menjelaskan berbagai bentuk pecahan dan hubungannya.",0,6,Rosanti,"July 3, 2021",https://imgv2-1-f.scribdassets.com/img/document/514018954/298x396/b54f493c8a/0?v=1
364215690,RPP Matematika 1,"Rencana Pelaksanaan Pembelajaran (RPP) ini merangkum rencana pembelajaran mata pelajaran Matematika untuk siswa kelas VII tentang materi Aljabar. RPP ini memuat tujuan pembelajaran untuk mengubah permasalahan sehari-hari menjadi model matematika berupa persamaan dan pertidaksamaan linear satu variabel, serta metode pembelajaran berupa diskusi kelompok dan presentasi hasilnya.",59,12,Muhammad Akmal,"November 12, 2017",https://imgv2-1-f.scribdassets.com/img/document/364215690/298x396/fcd8c424a9/0?v=1
491691379,RPP Matematika Kelas V KTSP,"Rencana Pelaksanaan Pembelajaran (RPP) ini membahas pembelajaran matematika tentang operasi hitung bilangan bulat untuk siswa kelas V semester 1 di PKBM Avicena. Materi ajarannya mencakup penggunaan sifat komutatif, asosiatif, dan distributif serta pembulatan dan penaksiran bilangan. Metode pembelajarannya meliputi demonstrasi, tanya jawab, dan latihan secara individu maupun kelompok dengan diharapkan siswa memiliki",138,139,Pkbm Sanggar 21,"January 22, 2021",https://imgv2-2-f.scribdassets.com/img/document/491691379/298x396/1fdc5d2443/0?v=1
334682977,RPP Matematika,"Rencana pelaksanaan pembelajaran mata pelajaran matematika kelas X/1 SMK AL BASTHOMI MOJOSARI mencakup 4 kompetensi dasar yaitu menerapkan operasi bilangan riil, bilangan berpangkat, bilangan irasional, dan logaritma serta penilaian akhir pembelajaran.",96,47,KaiZen PuTra Middle,"December 20, 2016",https://imgv2-1-f.scribdassets.com/img/document/334682977/298x396/787c985a5f/0?v=1
593076921,RPP Matematika,"RPP ini merangkum rencana pelaksanaan pembelajaran mata pelajaran Matematika Statistika untuk siswa kelas XII SMA Nurul Yaqin. Materi yang diajarkan meliputi penyajian data, ukuran pemusatan data, dan ukuran penyebaran data. Metode pembelajaran yang digunakan adalah ceramah, diskusi, dan problem based learning. Asesmen siswa dilakukan dengan menyelesaikan lembar kerja mengenai tabel distribusi frekuensi, histogram, dan pol",0,12,riri,"September 9, 2022",https://imgv2-1-f.scribdassets.com/img/document/593076921/298x396/45ad5f3406/0?v=1
504397519,RPP Matematika,"Rencana pelaksanaan pembelajaran mata pelajaran matematika kelas 2 ini membahas tentang pengajaran konsep pecahan 1/2, 1/3, dan 1/4 menggunakan benda konkret seperti roti, pizza, dan kue kepada siswa melalui pendekatan saintifik dan strategi belajar kooperatif.",0,38,Anisa Nurul Fadhilah,"April 23, 2021",https://imgv2-1-f.scribdassets.com/img/document/504397519/298x396/79c3478916/0?v=1
561354012,RPP Matematika K13,"Rencana Pelaksanaan Pembelajaran (RPP) ini membahas tentang pembelajaran matematika di MI Al-Jauharotun Naqiyyah untuk kelas IV semester 1. Materi yang diajarkan adalah pengukuran sudut, waktu, panjang, dan berat. Pembelajaran akan dilaksanakan secara blended learning menggunakan LKPD dan PPT selama 3 pertemuan dengan tujuan agar siswa memahami konsep-konsep tersebut dan mampu menyelesaikan soal-",23,9,Alifhia safira Safira,"February 26, 2022",https://imgv2-1-f.scribdassets.com/img/document/561354012/298x396/f127aa94ee/0?v=1
727162783,RPP Matematika 1,"Rencana Pelaksanaan Pembelajaran (RPP) ini membahas tentang pembelajaran matematika tentang segi banyak beraturan dan tidak beraturan untuk siswa kelas 4 SDN Batokerbuy 3. RPP ini menjelaskan tujuan, materi, metode, dan langkah pembelajaran serta penilaian siswa.",0,6,sptrnm6,"April 27, 2024",https://imgv2-1-f.scribdassets.com/img/document/727162783/298x396/59a29b0b68/0?v=1
503906445,RPP Matematika,"Rencana pelaksanaan pembelajaran daring ini membahas tentang pelajaran Matematika di SMP kelas VII tentang Bilangan. Pembelajaran akan dilaksanakan secara daring melalui media seperti WhatsApp, Google Classroom, dan Zoom selama 2 pertemuan dengan alokasi waktu 2 x 40 menit. Pembelajaran akan meliputi pengenalan bilangan bulat, operasi penjumlahan dan pengurangan bilangan bulat, serta sifat-sifat operasi tersebut. Kegiatan pembelajaran m",105,21,PURWA,"April 21, 2021",https://imgv2-1-f.scribdassets.com/img/document/503906445/298x396/d3f95469d0/0?v=1
425555111,RPP Matematika Devi,"Rencana Pelaksanaan Pembelajaran (RPP) ini membahas pelajaran Matematika kelas XII tentang materi Matriks. RPP ini menjelaskan kompetensi inti dan kompetensi dasar, tujuan pembelajaran, materi pelajaran, pendekatan pembelajaran, sumber belajar, dan kegiatan pembelajaran yang terdiri atas pendahuluan, inti, dan penutup untuk dua pertemuan.",0,64,Dvee Yanti,"September 12, 2019",https://imgv2-1-f.scribdassets.com/img/document/425555111/298x396/72f2388cf6/0?v=1
367882681,RPP Matematika,"Rencana pelaksanaan pembelajaran (RPP) ini membahas pelajaran matematika tentang pangkat bilangan bulat untuk siswa kelas VII SMP. RPP ini menjelaskan tujuan pembelajaran, kompetensi dasar, indikator pencapaian, materi ajar, metode pembelajaran, media, sumber belajar, dan kegiatan pembelajaran yang terdiri dari pendahuluan dan inti.",38,17,deni,"December 26, 2017",https://imgv2-2-f.scribdassets.com/img/document/367882681/298x396/07e9470523/0?v=1
26758679,RPP Matematika Logika,"Rangkuman dokumen Rencana Pelaksanaan Pembelajaran (RPP) mata pelajaran Matematika kelas X semester 2 tentang logika matematika dalam 3 kalimat:

RPP ini membahas tentang pembelajaran logika matematika, terutama pernyataan dan negasinya. Siswa diajarkan untuk membedakan pernyataan dan bukan pernyataan, serta menentukan nilai kebenaran pernyataan dan negasinya. Metode pembelajaran yang digunakan antara lain ceram",99,29,Meng Sucarman,"February 12, 2010",https://imgv2-1-f.scribdassets.com/img/document/26758679/298x396/94ccc0f6a4/0?v=1
719144829,RPP matematika,RPP Matematika untuk,0,11,Dian Pratiwi,"April 2, 2024",https://imgv2-2-f.scribdassets.com/img/document/719144829/298x396/a8dc7ff178/0?v=1
750961538,1.4 RPP NILAI MUTLAK,RPP Nilai Mutlak K13,0,3,istiana.matematika,"July 16, 2024",https://imgv2-1-f.scribdassets.com/img/document/750961538/298x396/130aea2b0b/0?v=1
680992809,RPP Matematika,"Modul 1, 2, dan 3 membahas rencana pelaksanaan pembelajaran (RPP) untuk mata pelajaran pendidikan matematika di SD yang mencakup tujuan pembelajaran, kegiatan pembelajaran, dan tahapan-tahapan pembelajaran matematika sesuai teori perkembangan kognitif anak.",0,74,Mahasiswabaru sdm,"October 30, 2023",https://imgv2-2-f.scribdassets.com/img/document/680992809/298x396/7873d70486/0?v=1
864839285,RPP MATEMATIKA,"Dokumen ini adalah Rencana Pelaksanaan Pembelajaran (RPP) untuk mata pelajaran Matematika di SD/MI, yang mencakup pembelajaran tentang penjumlahan dan pengurangan pecahan untuk kelas 4 dan penjumlahan bilangan bulat negatif untuk kelas 6. RPP ini mencakup kompetensi inti, kompetensi dasar, tujuan pembelajaran, metode pengajaran, kegiatan pembelajaran, serta penilaian. Setiap sesi pembelajaran dirancang untuk meningkatkan pemahaman siswa melalui pendekatan ilmiah dan pembelajaran kooperatif.",0,9,khairaniputri12,"May 21, 2025",https://imgv2-1-f.scribdassets.com/img/document/864839285/298x396/5ed86cbcb0/0?v=1
492387298,RPP Matematika,"Rencana Pelaksanaan Pembelajaran (RPP) ini membahas pelajaran matematika kelas VI tentang operasi hitung bilangan bulat dan akar pangkat tiga bilangan kubik. RPP ini menjelaskan standar kompetensi, kompetensi dasar, indikator, tujuan pembelajaran, materi ajar, metode pembelajaran, langkah-langkah pembelajaran, alat/sumber belajar, dan penilaian.",0,67,Ketut Sudarma,"January 28, 2021",https://imgv2-1-f.scribdassets.com/img/document/492387298/298x396/36c9da63d4/0?v=1
750961537,1.3 RPP NILAI MUTLAK,RPP Nilai Mutlak K13,0,3,istiana.matematika,"July 16, 2024",https://imgv2-2-f.scribdassets.com/img/document/750961537/298x396/a90cca2c24/0?v=1
373295688,RPP Matematika,"RPP ini merangkum rencana pelaksanaan pembelajaran mata pelajaran matematika untuk kelas X semester 1 di SMA Negeri 1 Sungailiat. RPP ini menjelaskan kompetensi inti dan dasar, indikator pencapaian kompetensi, tujuan pembelajaran, materi pelajaran tentang persamaan dan pertidaksamaan nilai mutlak dari bentuk linear satu variabel, serta pendekatan dan model pembelajaran yang digunakan yaitu pendekatan saintifik dengan model discovery",102,36,Tiuk Papaya,"March 8, 2018",https://imgv2-2-f.scribdassets.com/img/document/373295688/298x396/aba2d7f608/0?v=1
437287216,RPP Matematika,"Rencana pelaksanaan pembelajaran ini membahas konsep integral tak tentu sebagai kebalikan dari turunan fungsi. Materi pembelajaran meliputi penjelasan konsep integral sebagai antiturunan, rumus dasar dan sifat integral, serta prosedur penyelesaian masalah integral. Tujuan pembelajaran adalah agar siswa memahami konsep integral sebagai antiturunan dan dapat menyelesaikan masalah integral menggunakan rumus dan sifat dasarnya. Metode pem",59,5,dewi lestariani,"November 28, 2019",https://imgv2-1-f.scribdassets.com/img/document/437287216/298x396/e9437ae9d9/0?v=1
626172895,RPP Matematika PPG,"Dokumen tersebut merupakan rencana pelaksanaan pembelajaran (RPP) mata pelajaran matematika tentang aproksimasi pembulatan hasil pengukuran panjang dan berat untuk siswa kelas IV SD. RPP tersebut mencakup kompetensi dasar, indikator, tujuan pembelajaran, materi ajar, model pembelajaran, media dan sumber belajar, langkah pembelajaran, serta penilaian yang akan dilakukan.",0,41,Arini,"February 16, 2023",https://imgv2-2-f.scribdassets.com/img/document/626172895/298x396/a932195add/0?v=1
427577072,RPP Matematika,Rencana pelaksanaan pembelajaran ini membahas tentang persamaan kuadrat dengan akar-akar x1 dan x2 di kelas X SMK melalui diskusi kelompok dan penugasan mandiri siswa untuk meningkatkan keterlibatan aktif siswa dan tanggung jawab belajar secara mandiri.,0,22,anang,"September 26, 2019",https://imgv2-1-f.scribdassets.com/img/document/427577072/298x396/53d4cc7756/0?v=1
523409953,RPP Matematika,"Rencana Pelaksanaan Pembelajaran (RPP) ini membahas tentang pelajaran matematika di SD Negeri 101619 Janjimanaon. RPP ini menjelaskan kompetensi dasar, indikator, tujuan pembelajaran, kegiatan pembelajaran, sumber belajar, dan penilaian untuk materi pecahan senilai di kelas 4 semester 1.",46,9,Robiyah Aldha,"September 6, 2021",https://imgv2-2-f.scribdassets.com/img/document/523409953/298x396/fb68fe3050/0?v=1
542576225,RPP Matematika,"Rencana Pelaksanaan Pembelajaran (RPP) mata pelajaran matematika untuk kelas 4 SDN Gladak Anyar 4 mencakup tujuan pembelajaran tentang pecahan, alokasi waktu 12 jam pelajaran, dan pendekatan saintifik untuk metode pembelajaran seperti diskusi dan demostrasi.",133,24,Yuliana,"November 26, 2021",https://imgv2-2-f.scribdassets.com/img/document/542576225/298x396/49ffbf81a4/0?v=1
858572706,RPP MATEMATIKA,"Dokumen ini adalah Rencana Pelaksanaan Pembelajaran (RPP) untuk mata pelajaran Matematika di SMA, yang berfokus pada materi matriks, termasuk penjumlahan dan pengurangan matriks. RPP ini mencakup tujuan pembelajaran, metode, media, serta langkah-langkah pembelajaran yang melibatkan diskusi dan tanya jawab. Selain itu, RPP ini juga mencakup penilaian menggunakan Lembar Kerja Peserta Didik (LKPD).",0,4,nadyamahanani.smanda,"May 7, 2025",https://imgv2-2-f.scribdassets.com/img/document/858572706/298x396/35e4fd2af7/0?v=1
